rank_unique,rank_unique_cleaned
第一百九十五名,一百九十五
福建鄉試第三十九名,三十九
第一百二十四名,一百二十四
河南鄉試第三十四名,三十四
福建鄉試第二十八名,二十八
河南鄉試第十一名,十一
廣西鄉試第二十一名,二十一
應天府鄉試第二十名,二十
浙江鄉試第六十三名,六十三
江西鄉試第四名,四
浙江鄉試第三十九名,三十九
陝西鄉試第五名,五
廣東鄉試第十六名,十六
第一百五十三名,一百五十三
河南鄉試第二十六名,二十六
第一百八十七名,一百八十七
廣東鄉試第三十一名,三十一
順天府鄉試第二百十六名,二百十六
第一百八十名,一百八十
福建鄉試第二十二名,二十二
河南鄉試第三十一名,三十一
順天府鄉試第十四名,十四
第一百八十二名,一百八十二
江西鄉試第一百十四名,一百十四
應天府鄉試第七十名,七十
應天府鄉試第七名,七
河南鄉試第三十名,三十
第一百九十二名,一百九十二
陝西鄉試第六名,六
第一百九十九名,一百九十九
山西鄉試第二十一名,二十一
第一百五十一名,一百五十一
山東鄉試第七名,七
第一百九十八名,一百九十八
廣東鄉試第八十四名,八十四
山西鄉試第一名,一
第一百八十八名,一百八十八
江西鄉試第七十五名,七十五
第一百五十五名,一百五十五
四川鄉試第十四名,十四
第一百三十八名,一百三十八
順天府鄉試第二十七名,二十七
應天府鄉試第六十八名,六十八
福建鄉試第十四名,十四
第一百四十二名,一百四十二
浙江鄉試第八十一名,八十一
第一百二十三名,一百二十三
應天府鄉試第一百九十三名,一百九十三
第一百三十五名,一百三十五
雲南鄉試第六名,六
陝西鄉試第二十一名,二十一
應天府鄉試第一百七名,一百七
應天府鄉試第一百二十四名,一百二十四
第一百五十四名,一百五十四
浙江鄉試第五十八名,五十八
第一百四十六名,一百四十六
四川鄉試第七十四名,七十四
第一百三十名,一百三十
江西鄉試第二十八名,二十八
第一百四十四名,一百四十四
浙江鄉試第十名,十
湖廣鄉試第十九名,十九
順天府鄉試第八十一名,八十一
第一百九十一名,一百九十一
浙江鄉試第一百三十二名,一百三十二
浙江鄉試第五十九名,五十九
河南鄉試第三十九名,三十九
第一百二十一名,一百二十一
順天府鄉試第十一名,十一
浙江鄉試第四十六名,四十六
第一百八十四名,一百八十四
四川鄉試第六十名,六十
山東鄉試第二十三名,二十三
河南鄉試第三名,三
第一百九十四名,一百九十四
應天府鄉試第五十名,五十
第一百四十七名,一百四十七
應天府鄉試第九十九名,九十九
第一百八十九名,一百八十九
江西鄉試第三十七名,三十七
江西鄉試第一百名,一百
順天府鄉試第十七名,十七
應天府鄉試第一百三十二名,一百三十二
第一百十九名,一百十九
第一百八十三名,一百八十三
河南鄉試第十四名,十四
第一百九十名,一百九十
四川鄉試第二十八名,二十八
浙江鄉試第一百十八名,一百十八
應天府鄉試第四十二名,四十二
順天府鄉試第二十六名,二十六
第一百二十二名,一百二十二
山東鄉試第三十一名,三十一
第一百五十八名,一百五十八
四川鄉試第十名,十
第一百零一名,一百零一
第一百零二名,一百零二
浙江鄉試第九十名,九十
第一百零三名,一百零三
四川鄉試第十九名,十九
第一百零四名,一百零四
第一百二十八名,一百二十八
第一百零五名,一百零五
應天府鄉試第一百九十九名,一百九十九
第一百零六名,一百零六
第一百零七名,一百零七
河南鄉試第二十七名,二十七
第一百九十六名,一百九十六
第一百零八名,一百零八
第一百九十七名,一百九十七
第一百零九名,一百零九
浙江鄉試第五十五名,五十五
第一百五十名,一百五十
第一百一十名,一百一十
四川鄉試第六名,六
第一百三十四名,一百三十四
第一百一十一名,一百一十一
浙江鄉試第五名,五
第一百一十二名,一百一十二
江西鄉試第六十四名,六十四
第一百一十三名,一百一十三
第一百七十三名,一百七十三
第一百一十四名,一百一十四
江西鄉試第三十一名,三十一
第一百三十九名,一百三十九
第一百一十五名,一百一十五
應天府鄉試第九十名,九十
第一百一十六名,一百一十六
江西鄉試第九十名,九十
第一百七十二名,一百七十二
第一百一十七名,一百一十七
第一百一十八名,一百一十八
福建鄉試第三十七名,三十七
應天府鄉試第一百九十八名,一百九十八
順天府鄉試第八名,八
第一百七十七名,一百七十七
陝西鄉試第三十三名,三十三
第一百七十九名,一百七十九
第一百四十八名,一百四十八
順天府鄉試第五十三名,五十三
第一百三十七名,一百三十七
河南鄉試第二十一名,二十一
應天府鄉試第六名,六
應天府鄉試第二十四名,二十四
廣東鄉試第一名,一
雲南鄉試第三名,三
第三百四十四名,三百四十四
陝西鄉試第二十五名,二十五
第三百四十五名,三百四十五
湖廣鄉試第六十三名,六十三
第二百二名,二百二
廣東鄉試第三名,三
第二百五十七名,二百五十七
第二百五十九名,二百五十九
江西鄉試第三名,三
第□名,
應天府鄉試第三十五名,三十五
第三百六名,三百六
第三百四名,三百四
山東鄉試第二十九名,二十九
第二百四十二名,二百四十二
應天府鄉試第三十名,三十
浙江鄉試第十一名,十一
順天府鄉試第六十五名,六十五
浙江鄉試第二十七名,二十七
浙江鄉試第四十二名,四十二
第三百一名,三百一
浙江鄉試第二十四名,二十四
江西鄉試第二名,二
第三百四十二名,三百四十二
江西鄉試第二十名,二十
應天府鄉試第一百五十六名,一百五十六
第二百三十四名,二百三十四
江西鄉試第七十二名,七十二
應天府鄉試第六十四名,六十四
第二百九十四名,二百九十四
福建鄉試第一百十八名,一百十八
順天府鄉試第六十七名,六十七
浙江鄉試第一□名,
第三百五十名,三百五十
順天府鄉試第六十名,六十
應天府鄉試第一百九十五名,一百九十五
第二百四十八名,二百四十八
應天府鄉試第四十四名,四十四
湖廣鄉試第七名,七
陝西鄉試第四十名,四十
第三百四十名,三百四十
湖廣鄉試第一百七名,一百七
第二百七十六名,二百七十六
順天府鄉試第二十五名,二十五
第三百三十四名,三百三十四
慶天府鄉試第十一名,十一
應天府鄉試第九十二名,九十二
第二百五十四名,二百五十四
廣西鄉試第十三名,十三
第三百三十七名,三百三十七
順天府鄉試第一百七十七名,一百七十七
順天府鄉試第一百一十八名,一百一十八
第二百六十三名,二百六十三
江西鄉試第一百四十八名,一百四十八
第三百十八名,三百十八
江西鄉試第六十三名,六十三
浙江鄉試第五十六名,五十六
第三百二十六名,三百二十六
順天府鄉試第一百四十名,一百四十
第三百十三名,三百十三
福建鄉試第六十六名,六十六
第二百十五名,二百十五
順天府鄉試第二名,二
第二百三十二名,二百三十二
四川鄉試第一名,一
第三百四十一名,三百四十一
福建鄉試第十三名,十三
江西鄉試第十五名,十五
第二百三十六名,二百三十六
山東鄉試第九十五名,九十五
順天府鄉試第七十七名,七十七
福建鄉試第五十五名,五十五
順天府鄉試第七十三名,七十三
福建鄉試第七十三名,七十三
廣東鄉試第六十七名,六十七
第二百七十二名,二百七十二
四川鄉試第四十一名,四十一
第二百一十九名,二百一十九
雲南鄉試第五名,五
第二百五十一名,二百五十一
廣東鄉試第二十四名,二十四
江西鄉試第一百五名,一百五
第二百二十三名,二百二十三
浙江鄉試第三十七名,三十七
山西鄉試第五十六名,五十六
福建鄉試第五十四名,五十四
第二百五十五名,二百五十五
四川鄉試第八名,八
應天府鄉試第一百七十八名,一百七十八
浙江鄉試第四十八名,四十八
順天府鄉試第一百十九名,一百十九
浙江鄉試第十七名,十七
應天府鄉試第三名,三
第二百九十六名,二百九十六
江西鄉試第四十七名,四十七
浙江鄉試第八十六名,八十六
第三百三十名,三百三十
順天府鄉試第五十二名,五十二
河南鄉試第十二名,十二
第二百六十二名,二百六十二
湖廣鄉試第六十六名,六十六
第二百九名,二百九
福建鄉試第十二名,十二
江西鄉試第四十一名,四十一
浙江鄉試第六十四名,六十四
第三百四十九名,三百四十九
應天府鄉試第二十八名,二十八
浙江鄉試第九十六名,九十六
應天府鄉試第八十九名,八十九
第三百十七名,三百十七
四川鄉試第十三名,十三
江西鄉試第五十六名,五十六
應天府鄉試第四十九名,四十九
江西鄉試第一百二十六名,一百二十六
順天府鄉試第四十九名,四十九
山東鄉試第三名,三
第二百十一名,二百十一
第二百三十七名,二百三十七
雲南鄉試第十二名,十二
江西鄉試第六十七名,六十七
第二百六十七名,二百六十七
福建鄉試第一百一十九名,一百一十九
第二百七十九名,二百七十九
江西鄉試第一百二名,一百二
江西鄉試第五名,五
江西鄉試第一百六名,一百六
應天府鄉試第一百三十名,一百三十
浙江鄉試第一百四十二名,一百四十二
順天府鄉試第九十四名,九十四
第三百三十九名,三百三十九
浙江鄉試第七十八名,七十八
應天府鄉試第七十八名,七十八
江西鄉試第一百五十九名,一百五十九
應天府鄉試第六十五名,六十五
第二百八十七名,二百八十七
應天府鄉試第四名,四
第三百一十六名,三百一十六
浙江鄉試第一百四名,一百四
第三百一十九名,三百一十九
浙江鄉試第三十三名,三十三
應天府鄉試第一百二十六名,一百二十六
廣東鄉試第二十六名,二十六
第二百七十七名,二百七十七
山東鄉試第三十二名,三十二
第二百三十一名,二百三十一
應天府鄉試第一百六十名,一百六十
江西鄉試第一百一十三名,一百一十三
浙江鄉試第十二名,十二
河南鄉試第二十二名,二十二
順天府鄉試第三十六名,三十六
第二百九十一名,二百九十一
河南鄉試第十六名,十六
應天府鄉試第十三名,十三
四川鄉試第三十四名,三十四
江西鄉試第一百二十名,一百二十
第二百二十名,二百二十
第三百十四名,三百十四
湖廣鄉試第九名,九
順天府鄉試第八十九名,八十九
第二百六十名,二百六十
湖廣鄉試第二十八名,二十八
陝西鄉試第十三名,十三
湖廣鄉試第三十五名,三十五
第二百三十九名,二百三十九
陝西鄉試第三十七名,三十七
順天府鄉試第一百五十三名,一百五十三
第三百七名,三百七
山東鄉試第四名,四
江西鄉試第五十五名,五十五
第二百七十三名,二百七十三
順天府鄉試第二十二名,二十二
福建鄉試第六十四名,六十四
第二百二十六名,二百二十六
浙江鄉試第十五名,十五
福建鄉試第六名,六
應天府鄉試第一百十五名,一百十五
第二百五名,二百五
福建鄉試第四名,四
第二百九十九名,二百九十九
江西鄉試第五十九名,五十九
第二百八十名,二百八十
浙江鄉試第八十五名,八十五
四川鄉試第二名,二
第二百二十七名,二百二十七
福建鄉試第三十六名,三十六
應天府鄉試第十六名,十六
第二百二十五名,二百二十五
山西鄉試第八名,八
第三百三十三名,三百三十三
江西鄉試第一百七十四名,一百七十四
第一百四十九名,一百四十九
湖廣鄉試第十名,十
廣東鄉試第四十名,四十
順天府鄉試第二十四名,二十四
應天府鄉試第一百十六名,一百十六
湖廣鄉試第六十七名,六十七
第二百九十五名,二百九十五
河南鄉試第七十七名,七十七
陝西鄉試第十五名,十五
第二百四十六名,二百四十六
浙江鄉試第九十九名,九十九
山東鄉試第十七名,十七
應天府鄉試第三十六名,三十六
江西鄉試第一百八十八名,一百八十八
第二百七十八名,二百七十八
河南鄉試第六名,六
福建鄉試第六十七名,六十七
江西鄉試第一百七十五名,一百七十五
順天府鄉試第五十名,五十
順天府鄉試第一百二十六名,一百二十六
河南鄉試第一名,一
第二百五十三名,二百五十三
河南鄉試第三十三名,三十三
第二百四十七名,二百四十七
應天府鄉試第七十一名,七十一
江西鄉試第一百四十四名,一百四十四
江西鄉試第三十九名,三十九
浙江鄉試第八十三名,八十三
第□二名,
福建鄉試第十八名,十八
第二百九十二名,二百九十二
第二百四十三名,二百四十三
第二百九十七名,二百九十七
福建鄉試第九十一名,九十一
廣西鄉試第十二名,十二
陝西鄉試第十六名,十六
順天府鄉試第一百十四名,一百十四
第二百二十九名,二百二十九
江西鄉試第一百四十七名,一百四十七
第二百八十三名,二百八十三
江西鄉試第一百四十九名,一百四十九
湖廣鄉試第□□□名,
陝西鄉試第三十名,三十
第三百四十六名,三百四十六
四川鄉試第三十九名,三十九
應天府鄉試第五十一名,五十一
順天府鄉試第八十二名,八十二
第三百十名,三百十
陝西鄉試第七名,七
第三百四十七名,三百四十七
江西鄉試第十四名,十四
河南鄉試第二十九名,二十九
第三百八名,三百八
順天府鄉試第十八名,十八
第二百九十名,二百九十
河南鄉試第四十六名,四十六
順天府鄉試第一百十三名,一百十三
應天府鄉試第一百四十八名,一百四十八
第二百十八名,二百十八
浙江鄉試第二十九名,二十九
第二百八十八名,二百八十八
順天府鄉試第五十五名,五十五
第三百二十九名,三百二十九
湖廣鄉試第一百一名,一百一
第三百二十五名,三百二十五
應天府鄉試第十名,十
順天府鄉試第二百十一名,二百十一
四川鄉試第十七名,十七
江西鄉試第一百一名,一百一
第三百十二名,三百十二
浙江鄉試第四名,四
